,1,2,3,4
A,0.0,0.17869758895131088,0.25772406433683875,0.3518431813603706
An,240.0,356.0,281.0,53.0
B,0.0,0.15354254385964916,0.29821670832108205,0.4899539587748026
Bn,342.0,380.0,179.0,29.0
C,0.0,0.20214872925532823,0.28906113765303076,0.42353655462184875
Cn,297.0,394.0,204.0,35.0
D,0.0,0.17228126266195526,0.2516834385964912,0.3593534688995215
Dn,283.0,375.0,228.0,44.0
E,0.0,0.15269780219780213,0.25787346938775507,0.3760616414307658
En,273.0,319.0,245.0,93.0
F,0.0,0.17914337552742615,0.2613863943953506,0.35464266799073146
Fn,200.0,237.0,265.0,228.0
