air_store_id,air_genre_name,air_area_name,latitude,longitude
air_0f0cdeee6c9bf3d7,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_7cc17a324ae5c7dc,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_fee8dcf4d619598e,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_a17f0778617c76e2,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri,34.6951242,135.1978525
air_83db5aff8f50478e,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_99c3eae84130c1cb,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_f183a514cb8ff4fa,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_6b9fa44a9cf504a1,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_0919d54f0c9a24b8,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_2c6c79d597e48096,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_0164b9927d20bcc3,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_681f96e6a6595f82,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_ef920fa6f4b085f6,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_d3e7b5952cd09ccb,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_e64de0a6bf0739af,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_4ce7b17062a1bf73,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_290e7a57b390f78e,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_4579cb0669fd411b,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_63a750d8b4b6a976,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_9438d67241c81314,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_929d8513e3cdb423,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_6c1128955c58b690,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_638c35eb25e53eea,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_a7404a854919e990,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_f6cdaf7b7fdc6d78,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_df9355c47c5df9d3,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_bf617aa68d5f1cfa,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_a218912784bf767d,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_506fe758114df773,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_0b9038300f8b2b50,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
air_3440e0ea1b70a99b,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_722297e7f26db91d,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_fcfbdcf7b1f82c6e,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_f8233ad00755c35c,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_d186b2cb0b9ce022,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
