calendar_date,day_of_week,holiday_flg
2016-01-01,Friday,1
2016-01-02,Saturday,1
2016-01-03,Sunday,1
2016-01-04,Monday,0
2016-01-05,Tuesday,0
2016-01-06,Wednesday,0
2016-01-07,Thursday,0
2016-01-08,Friday,0
2016-01-09,Saturday,0
2016-01-10,Sunday,0
2016-01-11,Monday,1
2016-01-12,Tuesday,0
2016-01-13,Wednesday,0
2016-01-14,Thursday,0
2016-01-15,Friday,0
2016-01-16,Saturday,0
2016-01-17,Sunday,0
2016-01-18,Monday,0
2016-01-19,Tuesday,0
2016-01-20,Wednesday,0
2016-01-21,Thursday,0
2016-01-22,Friday,0
2016-01-23,Saturday,0
2016-01-24,Sunday,0
2016-01-25,Monday,0
2016-01-26,Tuesday,0
2016-01-27,Wednesday,0
2016-01-28,Thursday,0
2016-01-29,Friday,0
2016-01-30,Saturday,0
2016-01-31,Sunday,0
2016-02-01,Monday,0
2016-02-02,Tuesday,0
2016-02-03,Wednesday,0
2016-02-04,Thursday,0
2016-02-05,Friday,0
2016-02-06,Saturday,0
2016-02-07,Sunday,0
2016-02-08,Monday,0
2016-02-09,Tuesday,0
2016-02-10,Wednesday,0
2016-02-11,Thursday,1
2016-02-12,Friday,0
2016-02-13,Saturday,0
2016-02-14,Sunday,0
2016-02-15,Monday,0
2016-02-16,Tuesday,0
2016-02-17,Wednesday,0
2016-02-18,Thursday,0
2016-02-19,Friday,0
2016-02-20,Saturday,0
2016-02-21,Sunday,0
2016-02-22,Monday,0
2016-02-23,Tuesday,0
2016-02-24,Wednesday,0
2016-02-25,Thursday,0
2016-02-26,Friday,0
2016-02-27,Saturday,0
2016-02-28,Sunday,0
2016-02-29,Monday,0
2016-03-01,Tuesday,0
2016-03-02,Wednesday,0
2016-03-03,Thursday,0
2016-03-04,Friday,0
2016-03-05,Saturday,0
2016-03-06,Sunday,0
2016-03-07,Monday,0
2016-03-08,Tuesday,0
2016-03-09,Wednesday,0
2016-03-10,Thursday,0
2016-03-11,Friday,0
2016-03-12,Saturday,0
2016-03-13,Sunday,0
2016-03-14,Monday,0
2016-03-15,Tuesday,0
2016-03-16,Wednesday,0
2016-03-17,Thursday,0
2016-03-18,Friday,0
2016-03-19,Saturday,0
2016-03-20,Sunday,1
2016-03-21,Monday,1
2016-03-22,Tuesday,0
2016-03-23,Wednesday,0
2016-03-24,Thursday,0
2016-03-25,Friday,0
2016-03-26,Saturday,0
2016-03-27,Sunday,0
2016-03-28,Monday,0
2016-03-29,Tuesday,0
2016-03-30,Wednesday,0
2016-03-31,Thursday,0
2016-04-01,Friday,0
2016-04-02,Saturday,0
2016-04-03,Sunday,0
2016-04-04,Monday,0
2016-04-05,Tuesday,0
2016-04-06,Wednesday,0
2016-04-07,Thursday,0
2016-04-08,Friday,0
2016-04-09,Saturday,0
2016-04-10,Sunday,0
2016-04-11,Monday,0
2016-04-12,Tuesday,0
2016-04-13,Wednesday,0
2016-04-14,Thursday,0
2016-04-15,Friday,0
2016-04-16,Saturday,0
2016-04-17,Sunday,0
2016-04-18,Monday,0
2016-04-19,Tuesday,0
2016-04-20,Wednesday,0
2016-04-21,Thursday,0
2016-04-22,Friday,0
2016-04-23,Saturday,0
2016-04-24,Sunday,0
2016-04-25,Monday,0
2016-04-26,Tuesday,0
2016-04-27,Wednesday,0
2016-04-28,Thursday,0
2016-04-29,Friday,1
2016-04-30,Saturday,0
2016-05-01,Sunday,0
2016-05-02,Monday,0
2016-05-03,Tuesday,1
2016-05-04,Wednesday,1
2016-05-05,Thursday,1
2016-05-06,Friday,0
2016-05-07,Saturday,0
2016-05-08,Sunday,0
2016-05-09,Monday,0
2016-05-10,Tuesday,0
2016-05-11,Wednesday,0
2016-05-12,Thursday,0
2016-05-13,Friday,0
2016-05-14,Saturday,0
2016-05-15,Sunday,0
2016-05-16,Monday,0
2016-05-17,Tuesday,0
2016-05-18,Wednesday,0
2016-05-19,Thursday,0
2016-05-20,Friday,0
