"Date","3008.TW.Open","3008.TW.High","3008.TW.Low","3008.TW.Close","3008.TW.Volume","3008.TW.Adjusted"
2017-01-03,3805,3810,3780,3795,214000,3795
2017-01-04,3815,3820,3780,3780,339000,3780
2017-01-05,3840,4050,3840,4050,1602000,4050
2017-01-06,4050,4155,4025,4145,1051000,4145
2017-01-09,4175,4245,3995,4010,784000,4010
2017-01-10,3990,4135,3990,4135,513000,4135
2017-01-11,4180,4230,4170,4170,627000,4170
2017-01-12,4140,4240,4130,4240,571000,4240
2017-01-13,4240,4240,4175,4240,618000,4240
2017-01-16,4220,4250,4195,4250,313000,4250
2017-01-17,4260,4410,4260,4400,784000,4400
2017-01-18,4390,4450,4370,4445,574000,4445
2017-01-19,4410,4420,4275,4295,701000,4295
2017-01-20,4280,4390,4220,4390,717000,4390
2017-01-23,4380,4455,4335,4355,538000,4355
2017-01-24,4440,4475,4400,4450,773000,4450
2017-02-02,4450,4580,4450,4550,1105000,4550
2017-02-03,4530,4560,4450,4490,542000,4490
2017-02-06,4500,4520,4425,4505,416000,4505
2017-02-07,4520,4525,4455,4480,414000,4480
2017-02-08,4485,4530,4470,4470,385000,4470
2017-02-09,4515,4630,4500,4610,692000,4610
2017-02-10,4610,4810,4610,4740,675000,4740
2017-02-13,4730,4780,4685,4705,320000,4705
2017-02-14,4660,4770,4660,4715,495000,4715
2017-02-15,4715,4735,4695,4695,344000,4695
2017-02-16,4715,4780,4540,4560,731000,4560
2017-02-17,4585,4625,4530,4530,653000,4530
2017-02-18,NA,NA,NA,NA,NA,NA
2017-02-20,4510,4650,4480,4495,465000,4495
2017-02-21,4515,4560,4495,4560,235000,4560
2017-02-22,4640,4730,4635,4680,603000,4680
2017-02-23,4725,4800,4720,4745,458000,4745
2017-02-24,4745,4745,4560,4560,624000,4560
2017-03-01,4560,4560,4475,4475,7e+05,4475
2017-03-02,4560,4600,4450,4485,564000,4485
2017-03-03,4450,4535,4450,4465,310000,4465
2017-03-06,4530,4560,4495,4500,360000,4500
2017-03-07,4500,4535,4400,4445,382000,4445
2017-03-08,4480,4490,4410,4440,309000,4440
2017-03-09,4455,4485,4390,4485,329000,4485
2017-03-10,4470,4505,4435,4505,268000,4505
2017-03-13,4525,4660,4525,4650,529000,4650
2017-03-14,4695,4710,4615,4645,302000,4645
2017-03-15,4640,4640,4570,4590,319000,4590
2017-03-16,4640,4680,4640,4665,318000,4665
2017-03-17,4685,4760,4650,4760,287000,4760
2017-03-20,4750,4760,4710,4720,167000,4720
2017-03-21,4750,4850,4750,4810,398000,4810
2017-03-22,4725,4765,4685,4740,408000,4740
2017-03-23,4795,4800,4740,4750,161000,4750
2017-03-24,4785,4795,4730,4790,248000,4790
2017-03-27,4785,4815,4740,4795,194000,4795
2017-03-28,4800,4815,4685,4735,374000,4735
2017-03-29,4750,4750,4690,4690,345000,4690
2017-03-30,4715,4740,4690,4690,276000,4690
2017-03-31,4690,4790,4690,4780,284000,4780
2017-04-05,4780,4840,4715,4820,485000,4820
2017-04-06,4675,4705,4600,4600,866000,4600
2017-04-07,4600,4705,4540,4700,650000,4700
2017-04-10,4730,4730,4615,4615,223000,4615
2017-04-11,4585,4635,4520,4520,381000,4520
2017-04-12,4520,4540,4435,4475,564000,4475
2017-04-13,4425,4495,4385,4410,573000,4410
2017-04-14,4650,4820,4630,4800,1271000,4800
2017-04-17,4815,4815,4730,4780,346000,4780
2017-04-18,4810,4810,4765,4780,242000,4780
2017-04-19,4745,4760,4720,4720,305000,4720
2017-04-20,4720,4810,4700,4725,338000,4725
