index,date,district,BIndex
0,2015-01-10,中西區,2.0
1,2015-01-10,六甲區,0.0
2,2015-01-10,北門區,0.0
3,2015-01-10,南化區,0.0
4,2015-01-10,善化區,0.0
5,2015-01-10,安平區,0.0
6,2015-01-10,山上區,0.0
7,2015-01-10,左鎮區,0.0
8,2015-01-10,新市區,0.0
9,2015-01-10,新營區,0.0
10,2015-01-10,楠西區,0.0
11,2015-01-10,歸仁區,0.0
12,2015-01-10,白河區,0.0
13,2015-01-10,麻豆區,0.0
14,2015-01-11,仁德區,0.0
15,2015-01-11,安定區,0.0
16,2015-01-11,白河區,0.0
17,2015-01-12,中西區,1.0
18,2015-01-12,北區,0.0
19,2015-01-12,南區,2.0
20,2015-01-12,大內區,0.0
21,2015-01-12,學甲區,2.0
22,2015-01-12,官田區,0.0
23,2015-01-12,山上區,0.0
24,2015-01-12,新化區,0.0
25,2015-01-12,東區,2.0
26,2015-01-12,楠西區,0.0
27,2015-01-12,歸仁區,0.0
28,2015-01-12,永康區,0.0
29,2015-01-12,玉井區,0.0
30,2015-01-12,白河區,0.0
31,2015-01-12,西港區,2.0
32,2015-01-12,龍崎區,0.0
33,2015-01-13,下營區,0.0
34,2015-01-13,北區,0.0
35,2015-01-13,北門區,0.0
36,2015-01-13,善化區,0.0
37,2015-01-13,安南區,3.0
38,2015-01-13,安定區,0.0
39,2015-01-13,安平區,0.0
40,2015-01-13,官田區,2.0
41,2015-01-13,將軍區,0.0
42,2015-01-13,新市區,0.0
43,2015-01-13,東區,4.0
44,2015-01-13,東山區,0.0
45,2015-01-13,永康區,0.0
46,2015-01-13,關廟區,0.0
47,2015-01-13,龍崎區,0.0
48,2015-01-14,仁德區,2.0
49,2015-01-14,佳里區,0.0
50,2015-01-14,六甲區,0.0
51,2015-01-14,大內區,0.0
52,2015-01-14,官田區,0.0
53,2015-01-14,山上區,0.0
54,2015-01-14,後壁區,0.0
55,2015-01-14,東區,0.0
56,2015-01-15,六甲區,0.0
57,2015-01-15,大內區,2.0
58,2015-01-15,學甲區,2.0
59,2015-01-15,安平區,2.0
60,2015-01-15,左鎮區,2.0
61,2015-01-15,後壁區,0.0
62,2015-01-15,新化區,1.0
63,2015-01-15,柳營區,0.0
64,2015-01-15,永康區,0.0
65,2015-01-15,西港區,0.0
66,2015-01-15,龍崎區,0.0
67,2015-01-16,下營區,0.0
68,2015-01-16,仁德區,0.0
69,2015-01-16,南區,2.0
70,2015-01-16,安定區,0.0
71,2015-01-16,官田區,0.0
72,2015-01-16,左鎮區,1.0
73,2015-01-16,新市區,0.0
74,2015-01-16,東區,4.0
75,2015-01-16,永康區,0.0
76,2015-01-16,玉井區,0.0
77,2015-01-16,關廟區,0.0
78,2015-01-16,鹽水區,0.0
79,2015-01-16,麻豆區,2.0
80,2015-01-16,龍崎區,0.0
81,2015-01-17,仁德區,0.0
82,2015-01-19,佳里區,0.0
83,2015-01-19,六甲區,0.0
84,2015-01-19,南區,4.0
85,2015-01-19,大內區,0.0
86,2015-01-19,新市區,0.0
87,2015-01-19,東區,6.0
88,2015-01-19,龍崎區,0.0
89,2015-01-20,七股區,0.0
90,2015-01-20,下營區,0.0
91,2015-01-20,北區,0.0
92,2015-01-20,北門區,0.0
93,2015-01-20,南化區,0.0
94,2015-01-20,善化區,0.0
95,2015-01-20,大內區,0.0
96,2015-01-20,安定區,0.0
97,2015-01-20,後壁區,0.0
98,2015-01-20,新化區,0.0
99,2015-01-20,東區,2.0
100,2015-01-20,楠西區,0.0
101,2015-01-20,歸仁區,1.3333333333333333
102,2015-01-20,玉井區,0.0
103,2015-01-21,七股區,0.0
104,2015-01-21,佳里區,0.0
