學年/學期Semester,科目代號Course Code,開課序號Serial No.,開課單位Department,年級Year,課程名稱Course Title,授課教師Instructor,學分Credits,上課時間Class Sched.,選課人數Seats
107/ 1,GH0001,30725,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Fri 08:10-10:00,40/ 55
107/ 1,GH0001,31157,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Wed 08:10-10:00,46/ 55
107/ 1,GH0093,31248,通識中心,2,張愛玲小說選讀The Selected Readings of Eileen Chang's Fictions    ,林美清,2 ,Mon 13:10-15:00,13/ 20
107/ 1,GH0001,31970,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Tue 08:10-10:00,35/ 55
107/ 1,GD0058,31983,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Wed 09:10-12:00,67/ 70
107/ 1,GD0076,31984,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Tue 15:10-18:00,70/ 70
107/ 1,GD0077,31985,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Tue 15:10-18:00,69/ 70
107/ 1,GD0078,31986,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Mon 13:10-16:00,70/ 70
107/ 1,GD0079,31987,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Wed 09:10-12:00,70/ 70
107/ 1,GD0080,31988,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Fri 13:10-16:00,67/ 70
107/ 1,GD0081,31989,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Tue 15:10-18:00,25/ 70
107/ 1,GD0082,31990,通識中心,1,倫理與美學：電影與戲劇中的莎士比亞Ethics and Aesthetics in Filmic and Staged Shakespeare    ,鄭惠芳,3 ,Mon 13:10-16:00,46/ 70
107/ 1,GD0083,31991,通識中心,1,西洋文學概論：古代作品選讀Introduction to Western Literature：Masterpieces of The Ancient World    ,張玉燕,3 ,Fri 13:10-16:00,64/ 70
107/ 1,GD0084,31992,通識中心,1,歐美戲劇Western Drama and Theatre    ,黃尹瑩,3 ,Mon 13:10-16:00,67/ 70
107/ 1,GD0085,31993,通識中心,1,"北美小說、技藝與性別角色North American Novels, Domestic Arts, and Gender    ",葉玉慧,3 ,Wed 09:10-12:00,69/ 70
107/ 1,GD0001,31994,通識中心,2,醫古文Classics in Chinese Medicine    ,鄭銘德,2 ,Thu 10:10-12:00,57/ 65
107/ 1,GD0088,31995,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Tue 13:10-16:00,70/ 70
107/ 1,GD0089,31996,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Tue 15:10-18:00,68/ 70
107/ 1,GD0091,31997,通識中心,1,全球化議題Issues on Globalization    ,張至涵,3 ,Wed 09:10-12:00,69/ 70
107/ 1,GH0071,31998,通識中心,1,室內樂作品欣賞與實習The Appreciation and Ensemble Practice of Chamber Music    ,周悅如,2 ,Fri 17:10-19:00,4/ 0
107/ 1,GS0112,31999,通識中心,1,文化與歷史思維Historical Perspective on Cultures    ,曾華璧,3 ,Tue 15:10-18:00,70/ 70
107/ 1,GS0113,32000,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Wed 09:10-12:00,69/ 70
107/ 1,GS0114,32001,通識中心,1,中國近世歷史與士人文化Early Modern Chinese History and the Culture of Literati    ,黃寬重,3 ,Wed 09:10-12:00,61/ 70
107/ 1,GS0208,32002,通識中心,1,法學緒論Introduction to Jurisprudence    ,陳英淙,3 ,Mon 15:10-18:00,69/ 70
107/ 1,GS0209,32003,通識中心,1,科技法律Technology Law    ,蘇詔勤,3 ,Tue 13:10-16:00,70/ 70
107/ 1,GS0304,32004,通識中心,1,政治學與現代公民Politics and Contemporary Citizens    ,王賀白,3 ,Tue 15:10-18:00,70/ 70
107/ 1,GD0035,32005,通識中心,2,基礎素描Drawing Basic    ,陳昱銘,2 ,Fri 13:10-15:00,65/ 65
107/ 1,GS0406,32006,通識中心,1,現代公民的社會學想像Sociological Imagination of Contemporary Citizens    ,陳麗如,3 ,Tue 15:10-18:00,63/ 70
107/ 1,GS0407,32007,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,Fri 13:10-16:00,70/ 70
107/ 1,GT0137,32008,通識中心,2,資料處理與應用Introduction of Data Processing    ,李榮宗,2 ,Fri 10:10-12:00,39/ 40
107/ 1,GS0410,32009,通識中心,1,管理與現代社會Management and Contemporary Society    ,鄭道有,3 ,Tue 13:10-16:00,67/ 70
107/ 1,GS0504,32010,通識中心,1,社會心理學Social Psychology    ,胡正申,3 ,Tue 15:10-18:00,70/ 70
107/ 1,GD0058,32011,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Fri 13:10-16:00,45/ 70
107/ 1,GD0080,32012,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Wed 09:10-12:00,69/ 70
107/ 1,GD0076,32013,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Fri 13:10-16:00,69/ 70
107/ 1,GD0079,32014,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Mon 15:10-18:00,70/ 70
107/ 1,GD0078,32015,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Tue 13:10-16:00,68/ 70
107/ 1,GD0088,32016,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Mon 13:10-16:00,66/ 70
107/ 1,GD0083,32017,通識中心,1,西洋文學概論：古代作品選讀Introduction to Western Literature：Masterpieces of The Ancient World    ,張玉燕,3 ,Mon 13:10-16:00,22/ 70
107/ 1,GD0089,32018,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Mon 15:10-18:00,67/ 70
107/ 1,GD0081,32019,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Mon 15:10-18:00,17/ 70
107/ 1,GD0077,32020,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Mon 15:10-18:00,57/ 70
107/ 1,GS0208,32021,通識中心,1,法學緒論Introduction to Jurisprudence    ,陳英淙,3 ,Wed 09:10-12:00,70/ 70
107/ 1,GS0407,32022,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,Mon 15:10-18:00,69/ 70
107/ 1,GS0304,32023,通識中心,1,政治學與現代公民Politics and Contemporary Citizens    ,王賀白,3 ,Fri 13:10-16:00,69/ 70
107/ 1,GS0113,32024,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Tue 13:10-16:00,30/ 70
107/ 1,GS0209,32025,通識中心,1,科技法律Technology Law    ,蘇詔勤,3 ,Mon 13:10-16:00,70/ 70
107/ 1,GS0504,32026,通識中心,1,社會心理學Social Psychology    ,胡正申,3 ,Mon 15:10-18:00,69/ 70
107/ 1,GS0406,32027,通識中心,1,現代公民的社會學想像Sociological Imagination of Contemporary Citizens    ,陳麗如,3 ,Mon 15:10-18:00,46/ 70
107/ 1,GD0006,32028,通識中心,2,中文寫作Chinese Composition    ,陳姿蓉,2 ,Thu 13:10-15:00,23/ 25
