DATE,CORESTICKM158SFRBATL
1967-01-01,2.719150877
1967-02-01,3.584619041
1967-03-01,0.407559336
1967-04-01,3.590816074
1967-05-01,3.476845048
1967-06-01,3.562436448
1967-07-01,4.075730975
1967-08-01,3.661238235
1967-09-01,2.657673893
1967-10-01,4.607738158
1967-11-01,4.520355433
1967-12-01,3.803704347
1968-01-01,6.064638397
1968-02-01,3.849038218
1968-03-01,6.003480393
1968-04-01,3.755161339
1968-05-01,2.672425292
1968-06-01,9.188161542
1968-07-01,6.596921559
1968-08-01,5.986265753
1968-09-01,2.677096974
1968-10-01,7.471513141
1968-11-01,7.132163635
1968-12-01,7.525751636
1969-01-01,6.557993515
1969-02-01,3.889046453
1969-03-01,10.592670784
1969-04-01,8.314453723
1969-05-01,5.897448578
1969-06-01,4.295394018
1969-07-01,6.751617468
1969-08-01,6.290557154
1969-09-01,7.651250201
1969-10-01,4.186319307
1969-11-01,5.657654746
1969-12-01,7.203894141
1970-01-01,9.024776331
1970-02-01,9.435550141
1970-03-01,9.840287435
1970-04-01,6.206832158
1970-05-01,7.459079007
1970-06-01,6.724355694
1970-07-01,5.041388915
1970-08-01,7.576550839
1970-09-01,7.250587360
1970-10-01,3.906445745
1970-11-01,9.015944065
1970-12-01,7.254298031
1971-01-01,4.973244177
1971-02-01,1.352553000
1971-03-01,0.020641953
1971-04-01,3.872519600
1971-05-01,4.509234253
1971-06-01,8.926619197
1971-07-01,4.162025481
1971-08-01,4.529228164
1971-09-01,4.339302733
1971-10-01,0.432615435
1971-11-01,3.717930174
1971-12-01,3.952069425
1972-01-01,5.556605625
1972-02-01,2.634075694
1972-03-01,2.521069976
1972-04-01,2.828663416
1972-05-01,3.186738988
1972-06-01,4.282798338
1972-07-01,3.891780451
1972-08-01,3.308700308
1972-09-01,1.436775534
1972-10-01,2.870035297
1972-11-01,2.961205754
1972-12-01,2.427190129
1973-01-01,1.859095442
1973-02-01,3.094028079
1973-03-01,3.096372686
1973-04-01,4.062537306
1973-05-01,4.932100877
1973-06-01,3.358412383
1973-07-01,2.860799179
1973-08-01,7.108007651
1973-09-01,9.031400961
1973-10-01,13.080099363
1973-11-01,4.900250062
1973-12-01,6.982068495
1974-01-01,8.277274417
1974-02-01,8.434462575
1974-03-01,9.404793951
1974-04-01,7.491256639
1974-05-01,12.572770256
1974-06-01,14.090081705
1974-07-01,13.721359359
1974-08-01,14.082769649
1974-09-01,15.013345033
1974-10-01,12.709014151
1974-11-01,9.851535166
1974-12-01,13.034307076
1975-01-01,9.792561718
1975-02-01,10.310713699
1975-03-01,6.933440750
1975-04-01,8.951021072
1975-05-01,3.521552578
1975-06-01,8.112432340
1975-07-01,5.747424312
1975-08-01,3.928820188
1975-09-01,10.241278799
1975-10-01,7.678600510
1975-11-01,9.776090953
1975-12-01,8.017089073
1976-01-01,9.961583175
1976-02-01,6.495049269
1976-03-01,6.488311805
1976-04-01,3.146855293
1976-05-01,4.909026961
1976-06-01,6.961006747
1976-07-01,8.365594377
1976-08-01,7.048469785
1976-09-01,6.841601117
1976-10-01,5.118492772
1976-11-01,6.413082150
1976-12-01,3.075272981
1977-01-01,8.035378695
1977-02-01,6.508271090
1977-03-01,7.078107161
1977-04-01,8.874198074
1977-05-01,6.819034948
1977-06-01,9.138225321
1977-07-01,7.895445206
1977-08-01,6.460857500
1977-09-01,7.326871704
1977-10-01,6.053366686
1977-11-01,6.989217589
1977-12-01,7.516902510
1978-01-01,8.137827263
1978-02-01,6.142176982
1978-03-01,8.193147816
1978-04-01,8.623312686
1978-05-01,9.601065751
1978-06-01,9.599107962
1978-07-01,10.739101414
1978-08-01,9.638008707
1978-09-01,12.204945326
1978-10-01,11.532265927
1978-11-01,9.069207379
1978-12-01,5.567450598
1979-01-01,8.288246259
1979-02-01,12.157878299
1979-03-01,9.429554668
1979-04-01,11.561580010
1979-05-01,11.577367441
1979-06-01,11.852449981
1979-07-01,13.621626196
1979-08-01,14.906985215
1979-09-01,12.790591828
1979-10-01,14.918026076
1979-11-01,17.243970896
1979-12-01,15.108053859
1980-01-01,17.098272076
1980-02-01,13.691525472
1980-03-01,18.215214229
1980-04-01,16.644481440
1980-05-01,15.855529531
1980-06-01,19.834349014
1980-07-01,-4.171337546
1980-08-01,4.892602171
1980-09-01,10.687593418
1980-10-01,14.874686057
1980-11-01,14.605849881
1980-12-01,12.847822244
1981-01-01,9.021788873
1981-02-01,4.461263169
1981-03-01,7.108007651
1981-04-01,9.125224533
1981-05-01,14.511112295
1981-06-01,14.746797768
1981-07-01,19.445676003
1981-08-01,11.628458457
1981-09-01,15.649699386
1981-10-01,3.578422348
1981-11-01,5.746919084
1981-12-01,4.913039482
1982-01-01,4.516356682
1982-02-01,5.248078658
1982-03-01,-0.240454591
1982-04-01,11.450595159
1982-05-01,14.166477743
1982-06-01,12.557656229
1982-07-01,6.961900199
1982-08-01,4.859258323
1982-09-01,-0.622815025
1982-10-01,3.549054644
1982-11-01,-2.035165737
1982-12-01,-4.356741650
1983-01-01,6.655465369
1983-02-01,4.433539095
1983-03-01,2.399470773
1983-04-01,6.468101756
1983-05-01,2.819061410
1983-06-01,3.687657857
1983-07-01,4.333813217
1983-08-01,3.914773494
1983-09-01,4.015625079
1983-10-01,5.365724951
1983-11-01,5.743003640
1983-12-01,3.843820794
1984-01-01,6.904222799
1984-02-01,4.899873925
1984-03-01,3.933419926
1984-04-01,6.372437759
1984-05-01,3.549550238
1984-06-01,4.635254442
1984-07-01,5.650965861
1984-08-01,5.541222649
1984-09-01,5.302420047
1984-10-01,4.924576263
1984-11-01,4.126154867
1984-12-01,4.844845758
1985-01-01,2.987831632
1985-02-01,6.655974574
