#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2014-03-09-10-21-10
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	count	string	count	count	count	count	table[string]
1349502217.246382	CucxMi1qFtoehycA31	172.16.253.254	8	172.16.253.130	0	icmp	-	-	-	-	OTH	-	0	-	1	48	0	0	(empty)
1349502218.247761	CHTotB3UIGuCGk1I93	172.16.253.130	68	172.16.253.254	67	udp	dhcp	0.002172	0	600	SHR	-	0	d	0	0	2	656	(empty)
1349503118.018645	C7Yigk4C7ZsT5n5Xle	172.16.253.130	68	172.16.253.254	67	udp	dhcp	0.001650	301	300	SF	-	0	Dd	1	329	1	328	(empty)
1349503963.100578	C4yqO226W39F3tuY36	172.16.253.130	53	4.2.2.2	53	udp	dns	0.021663	35	123	SF	-	0	Dd	1	63	1	151	(empty)
1349504024.610213	CFzj5vgnPSFo72hS6	172.16.253.130	1050	110.34.193.13	80	tcp	http	0.291247	1447	273	SF	-	0	ShADadfF	5	1655	5	477	(empty)
1349503963.132067	CB9knB2k1qrWqt0pWg	172.16.253.130	1046	65.55.57.27	80	tcp	http	61.769921	304	13918	RSTO	-	0	ShADadR	8	632	12	14402	(empty)
1349504024.910270	CUgUeN2CI9DPBectla	172.16.253.130	1051	110.34.193.13	80	tcp	http	0.187844	1165	206	SF	-	0	ShADadfF	5	1373	5	410	(empty)
1349504025.126620	C0bcQd3KaNKOOViwAl	172.16.253.130	1052	110.34.193.13	80	tcp	http	0.216773	421	193	SF	-	0	ShADadfF	5	629	5	397	(empty)
1349504025.356030	C7nZZWcYwKzleEcj2	172.16.253.130	1053	110.34.193.13	80	tcp	http	0.201206	555	204	SF	-	0	ShADadfF	5	763	5	408	(empty)
1349504025.578743	CIDwTQ3YyW0PdA7P8d	172.16.253.130	1054	110.34.193.13	80	tcp	http	0.202623	390	964	SF	-	0	ShADafF	5	598	4	1128	(empty)
1349504024.143452	C0ffjGI5gaNZ3kGs9	172.16.253.130	53	8.8.8.8	53	udp	dns	0.466178	35	51	SF	-	0	Dd	1	63	1	79	(empty)
1349504024.143545	C3Z0i33sTNd2duyObi	172.16.253.130	53	4.2.2.2	53	udp	dns	0.620235	35	51	SF	-	0	Dd	1	63	1	79	(empty)
1349504018.020905	CMeWHfCGHHELqfBpk	172.16.253.130	68	172.16.253.254	67	udp	dhcp	0.002533	301	300	SF	-	0	Dd	1	329	1	328	(empty)
1349504085.876150	CN6tCu1oSWCRidRWef	172.16.253.130	1055	110.34.193.13	80	tcp	http	0.202295	421	193	SF	-	0	ShADadfF	5	629	5	397	(empty)
1349504086.094916	Cd9mpd2qNAn0fSkvk4	172.16.253.130	1056	110.34.193.13	80	tcp	http	0.279925	390	964	SF	-	0	ShADafF	5	598	4	1128	(empty)
1349504146.469975	CaToVA4zIWyGT4M1Mc	172.16.253.130	1057	110.34.193.13	80	tcp	http	0.248971	421	193	SF	-	0	ShADadfF	5	629	5	397	(empty)
1349504207.142675	CtqQ264HEARkzzeSs5	172.16.253.130	1059	110.34.193.13	80	tcp	http	0.217424	421	193	SF	-	0	ShADadfF	5	629	5	397	(empty)
1349504146.735252	CEvhNG1z0bjFznUKZ1	172.16.253.130	1058	110.34.193.13	80	tcp	http	0.313017	390	964	SF	-	0	ShADafF	5	598	5	2132	(empty)
1349504207.412391	CLUXCw4L4SNLuUGEag	172.16.253.130	1060	110.34.193.13	80	tcp	http	0.205554	390	964	SF	-	0	ShADafF	5	598	4	1128	(empty)
#close	2014-03-09-10-21-11
