#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-03-09-10-21-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357443713.771374	CwpmmC1nkqhQHbJZp2	172.16.253.130	1092	117.55.241.58	80	1	GET	117.55.241.58	/indexs.zip	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)	0	114696	200	OK	-	-	-	(empty)	-	-	-	-	-	FUeDt54BVzUpOUaq0f	binary
1357443717.398529	C7mq1a2EFdVOimVLNf	172.16.253.130	1093	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443718.609637	C3igGQ35XNDHExA09g	172.16.253.130	1094	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443719.811859	CbgfaV3ELVBWdYiL42	172.16.253.130	1095	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443730.813588	C3Iwx5229zUmj870ck	172.16.253.130	1096	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443732.029982	CnNbym25ym37qHFGM6	172.16.253.130	1097	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443733.234478	CLFIdGKd5YxGwcFr6	172.16.253.130	1098	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443734.436947	C5K3HBp6eYfMiZ1xk	172.16.253.130	1099	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443735.640073	CvVT4r2swMaAciKF46	172.16.253.130	1100	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443746.640364	CI5iYO54LDEOhchuj	172.16.253.130	1101	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357443747.858075	CYxHnv2ubOxAhoC0Pj	172.16.253.130	1102	184.22.41.10	80	1	GET	184.22.41.10	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
