#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-03-09-10-22-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1317692569.233181	CDPGDr3LnPr4M17Ao	172.16.165.128	1035	195.3.145.87	80	1	POST	asdaddddaaaa.com	/678/index.php	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US)	17	644	200	OK	-	-	-	(empty)	-	-	-	FP7Vvg2YuVfoEthpMk	text/plain	F0c2ju17d5aeCFq55h	text/plain
1317692569.505936	C8noNq3ZF3YyCyBxV2	172.16.165.128	1039	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/2.0 (compatible; MSIE 3.01; Windows 98)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1317692569.518546	CrVlK61xQmQe2bmRlb	172.16.165.128	1040	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Opera/9.00 (Wii; U; ; 1038-58; Wii Shop Channel/1.0; en)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1317692569.629254	CadAPC2raZX6GmXOOf	172.16.165.128	1049	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; ; Linux armv5tejl; U) Opera 8.02 [en_US] Maemo browser 0.4.31 N770/SU-18	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FoHC0y4R6kIveiY6g2	text/html
1317692569.655845	CSRSK8DencWxPhIog	172.16.165.128	1052	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Nitro) Opera 8.50 [en]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FMv3qf3AFhSQbq9RUe	text/html
1317692569.696043	ChDMBu2HZTZ4bJoLa4	172.16.165.128	1054	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 6329) Opera 8.00 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FPxbkV38XpatXWtTgg	text/html
1317692569.711206	CRS1hQRynlIGzTFKf	172.16.165.128	1055	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/525.19 (KHTML, like Gecko) Chrome/1.0.154.65 Safari/525.19	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FxXPYH1pQ0y8utbca4	text/html
1317692569.743178	ClrXGl2WJMVfVg5qV4	172.16.165.128	1059	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/4.1 (compatible; MSIE 5.0; Symbian OS; Nokia 6600;452) Opera 6.20 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F0nzEe4xzKi9tGMtvk	text/html
1317692569.750167	CwY7nJqg3xPFU4IFd	172.16.165.128	1060	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; Arcor 5.005; .NET CLR 1.0.3705; .NET CLR 1.1.4322)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FtlUci4fw7nXN90Ohk	text/html
1317692569.768097	CVZ5e53K7hXGFQRKr1	172.16.165.128	1062	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F1Dhc5iMRlwiWOJFf	text/html
1317692569.782518	CGPgZRWwz3mHQPc72	172.16.165.128	1065	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; YPC 3.0.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbh9zB4MMNKV4SIfD8	text/html
1317692569.789991	Cq2Rjw2QH9JVfVTmd4	172.16.165.128	1064	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 7.0b; Windows NT 6.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FVdVJ124WauUHNiS87	text/html
1317692569.822420	C6f0Z3349UB2VkHKJ2	172.16.165.128	1068	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F6jSG744MtU0YuqvF2	text/html
1317692569.848716	CKsMfaENSkFLz69gf	172.16.165.128	1072	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.2) Gecko/20070221 SUSE/2.0.0.2-6.1 Firefox/2.0.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F8g2Cr4jDMU1LyEPLi	text/html
1317692569.848285	C7VZhC2Yk52LWG1J12	172.16.165.128	1071	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 9424) Opera 8.65 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FEV02L2gWpohs4ofc2	text/html
1317692569.857465	CQsJSc3eaEsxaAda3d	172.16.165.128	1073	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.0.6) Gecko/20060808 Fedora/1.5.0.6-2.fc5 Firefox/1.5.0.6 pango-text	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FGuKfc34jOcqNSaus8	text/html
1317692569.864199	ClmeOs28UvRabF2Kk5	172.16.165.128	1074	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/5.0 (X11; U; FreeBSD i386; en-US; rv:1.7.8) Gecko/20050609 Firefox/1.0.4	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FE3UIx2zyqvKCJOLu6	text/html
1317692569.888198	CtG7wnKVtVdWt0y33	172.16.165.128	1077	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Opera/9.50 (Windows NT 5.1; U; ru)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FluxFN31mtVCzvBdUi	text/html
1317692569.883276	CXW1Mg321XGsSsBTR	172.16.165.128	1076	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FDb32h2G5QUrMclv0f	text/html
