中文正名,英文名,入藥部位
烏藥,Combined Spicebush Root,根
朱砂蓮,Tuberous Dutchmanspipe Root Tuber,塊根
匙羹藤,Australian Cowplant Root or Herb,根或全株
蛇根木,Java Devilpepper Root,根
化食藤,Yunnan Gymnema Root,根
雪膽,Chinese Hemsleya Tuber,塊莖
金龜蓮,Lovely-flower Hemsleya Tuber,塊莖
土木香,Elecampane Inula Root,根
延胡索,Yanhusuo Tuber,塊莖
雪上一枝蒿,Shortstalk Monkshood Root,塊根
蜀葵根,Hollyhock Root,根
五指參,Arrowleaf Abelmoschus Root,根
虎杖根,Giant Knotweed Root,根
金蕎麥,Wild Buckwheat Rhizome,根莖
羊蹄,Japanese Dock Root,根
觀音座蓮,Fokin Angiopteris Rhizome,根莖及葉柄殘基
活血蓮,Penang Pronephrium Rhizome,根莖
貫眾,Male Fern Rhizome,根莖及葉柄殘基
黑虎七,Common Coniogramme Rhizome,根莖
散血蓮,Japanese Coniogramme Rhizome or Herb,根莖或全草
狗脊,East Asian Tree Fem Scythian Lamb Rhizome,根莖
入地蜈蚣,Ceylan Helminthostachys Rhizome,根莖
水龍骨,Japanese Polypodiodis Rhizome Japanese Polypody Rhizome,根莖
骨碎補,Fortune's Drynaria Rhizome,根莖
麻黃根,Chinese Ephedra Root,根和根莖
山荸薺,Sumatr Sawgrass Corm,球莖
香附,Nutgrass Galingale Rhizome,根莖
荸薺,Waternut Corm,球莖
高粱七,Resembling Sorghum Rhizome,根莖
糯稻根,Stichy Rice Root,根
茅香,Vanillagrass Rhizome Sweetgrass Rhizome,根莖
蘆根,Reed Rhizome,根莖
盤龍參,Chinese Spiranthes Root or Herb,根或全草
石仙桃,Chinese Pholidota Pseudobulb or Herb,假鱗莖或全草
龍舌箭,Henry Ladyslipper Root,根
扇子七,Japanese Ladyslipper Root or Herb,根或全草
腎經草,Ciliolate Habenaria Tuber,塊莖
手掌參,Shortspur Gymnadenia TuberThickvein Gymnadenia Tuber,塊莖
手參,Conic Gymnadenia Tuber,塊莖
馬牙七,Fimbriate Calanthe Pseudobulb,假鱗莖及根
八仙草,Waterplantainleaf Calanthe Pseudobulb,假鱗莖
白芨,Common Bletilla Tuber Hyacinth Bletilla Tuber,塊狀假鱗莖
天麻,Tall Gastrodia Rhizome,塊莖
馬藺根,Chinese Iris Root,根
紅蔥,Common Eleutherine Bulb,鱗莖
鳶尾,Root Iri Rhizome,根莖
射幹,Blackberrglily Rhizome,根莖
牛尾參,Subcalvuvs yam Rhizome,塊莖
白薯莨,Hispid yam Rhizom,根莖
綿萆解,Spingy Yam Rhizome,根莖
粉萆解,Hypoglaucous Yam Rhizome,根莖
滇白藥子,Kamoon Yam Root Tuber,塊根
五葉薯,Fiveleaf Yam Rhizome,塊莖
穿山龍,Chuanlong Yam Rhizome,根莖
山藥,Common Yam Rhizome,塊莖
粽粑葉根,Zongbayi Aspidistra Rhizome,根莖
九龍盤,Brownishpurple Aspidistra Rhizome,根莖
蜘蛛抱蛋,Coommon Aspidistra Rhizome,根莖
